,text
39,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…
40,@JoeBiden https://t.co/gsu2EpZ7t7
41,@JoeBiden Let’s be clear:  all I do is complain and send negative tweets.
42,@JoeBiden your son had a CRACK PIPE in his mouth…. Like in only 2020 is this the norm
43,@JoeBiden https://t.co/pM8B8VXpak
44,@JoeBiden U are part of the damn problem bcuz ur not standing up &amp; being a man ur following other ppls evil ways &amp;… https://t.co/kzXRSOt4Np
45,@JoeBiden https://t.co/oWcjnGeN40
46,@JoeBiden https://t.co/OV7ZWKvkGP
47,@JoeBiden  if you really love musicians please show some love to this one&gt;&gt;&gt;https://t.co/wa74gpETX2👁️
48,@JoeBiden https://t.co/x7tzbDgKrK
49,@JoeBiden And definitely u r not the one who can give free health to all because u already have wasted your 47 years in the Government 🤦‍♀️
50,RT @reallyjustagirl: @JoeBiden @Bjorkian15 You got my vote tonight!! Let's do this Joe!!! https://t.co/AjX615kGSa
51,@JoeBiden  Joe what about Hunters email to his sister saying you were charging him money for helping him with Ukrai… https://t.co/0uMNMMl92G
52,@JoeBiden You saying shit @JoeBiden ..ya keep laying emphasis on health care...is that gonna stop you from being a failure already..
53,"RT @Jailano: @JoeBiden As a UK citizen, it baffles me how someone can have 3 million more votes and NOT win 🤷‍♂️ I clearly don't understand…"
54,@JoeBiden Free healthcare for all
55,@JoeBiden https://t.co/Pi0kemm4Jq
56,@JoeBiden for PRESIDENT 🙌 #46 #VOTE https://t.co/KKlaEgpKNN
57,@JoeBiden Joe be bigger. All WE want to hear YOU SAY IS WHAT YOU WILL DO BETTER. we already know the count is worth… https://t.co/JRa4hCrBlt
58,@JoeBiden Mexico will be next to become an oppressed state.
59,"RT @WesleySpruce: @JoeBiden @CesarMASconsult I asked Joe Biden: What is your response to the NYPost story about your Crackhead son, sir?  H…"
60,@joebiden is obviously a poor excuse for a man &amp; a father. America do not let this dolt anywhere near the White Hou… https://t.co/H4XiPpJfjs
61,@JoeBiden @HC_Richardson We dropped our ballots off this evening at the Washington State Elections’ steel lockbox t… https://t.co/MDuhDf7WH8
62,"@JoeBiden I'm excited, that we can actually get green energy moving for our country.  The time is now. And infrastr… https://t.co/asksSTNokO"
63,@JoeBiden @NashvilleDeeDee YES
64,@JoeBiden So then you are NOT going to repeal @realDonaldTrump tax cuts?
65,@JoeBiden https://t.co/6RMkwZDeSL
66,"@JoeBiden @CesarMASconsult I asked Joe Biden: What is your response to the NYPost story about your Crackhead son, s… https://t.co/SD2P70ZITj"
67,@JoeBiden I agree watch the video https://t.co/0zIz9QE4RE if your not bias and have a open mind
68,@JoeBiden The only reason they even have mask on is because they make fun of biden for wearing mask but atleast bid… https://t.co/bFaX6uLmCh
69,@JoeBiden You WROTE the crime bill that incarcerated minorities at a rate never seen before
70,@JoeBiden Ich drücke Ihnen die Daumen das sie Präsident von Amerika werden.
71,@JoeBiden https://t.co/g3kyBXTGDP
72,@JoeBiden @HillaryClinton Presidents don't use the taxpayers' resources to enrich their families. Presidents don't… https://t.co/phOTO2ZD1Q
73,@JoeBiden For the people…….by the people  🤩💖🇺🇲🇺🇲🇺🇲💖🥰 @JoeBiden  @KamalaHarris is the ONLY vote that counts💯💯‼️‼️
74,@JoeBiden might as well let @BillCosby out https://t.co/VhSSysx4vA
75,@JoeBiden Or ANYONES suffering he just cares about himself #Narcissismaritsbest
76,@JoeBiden https://t.co/il3hUW7MEy
77,"@JoeBiden @KamalaHarris I can not wait until you are sworn in on January 20th, 2021. #November3rd2020"
78,"@JoeBiden No, you’re not getting it: One must *give* healthcare to every single person, not expand access!!"
79,"@JoeBiden Yes, that's why vote TRUMP. You are a terrible agent of CCP."
80,"@JoeBiden You said the N word! And that's never been acceptable whether you're quoting anyone or not, just ask Papa John's Snyder."
81,@JoeBiden مثلا مابایدروی باسن دخترها کیک رو لیس نزنیم یا اونروبامیزغدا اشتباه نگیریم درسته آقای جو
82,"@JoeBiden I am responsible for Trumps reign  of terror. I did not vote in 2016, I thought my vote did not matter. I… https://t.co/2o3hjPtpr7"
83,@JoeBiden Haven’t you got the message yet. Stop repeating after POTUS. After getting caught with your pants down wh… https://t.co/pqFtxXx7lW
84,@JoeBiden  hunter lost the race for ya. @CNN  @MSNBC @ABC @NBCNews. You can't hide it. It's now in plane sight… https://t.co/ILOw4V4F40
85,@JoeBiden @JLo @AROD Well it makes sense now https://t.co/5fMevd1txb
86,@JoeBiden @JLo @AROD Totally makes sense https://t.co/VuBX5JCSkD
87,@JoeBiden Bullshit
88,RT @TheresaMechele: @JoeBiden How much did China chip in? #ChinaJoe
89,@JoeBiden @BarackObama @MichelleObama @DrBiden There’s no way he didn’t sniff him at least once this is crazy
90,@JoeBiden @KamalaHarris This is why health care for all will become inevitable
91,@JoeBiden https://t.co/LHEUGRn9Lm https://t.co/Mim2KSIQSO
92,@JoeBiden https://t.co/LHEUGRn9Lm https://t.co/Mim2KSIQSO
93,RT @Jpdawe7: @JoeBiden ♥️🇺🇸💙 https://t.co/qzhILBw26Z
94,"RT @Cloutassent: @JoeBiden ""Access"" doesnt mean shit if people cant afford it. I have access to healthcare, if I happen to have an extra $1…"
95,@JoeBiden Does this epidemic require masks? Asking for a friend 😂
96,@JoeBiden We need you and Kamala. #BidenHarrisToSaveAmerica
97,RT @ArthurSchwartz: @JoeBiden Your family took money from the Chinese Communist Party in exchange for meetings with you in the WH. You won’…
98,@JoeBiden Shouldn't you be ready to go to jail?
99,@JoeBiden Obama care tore it down
100,@JoeBiden Who is writing this drivel
101,@JoeBiden Great!!! You have my support
102,@JoeBiden people of color.  Sneaky way of saying the N word you racist bastard @realDonaldTrump https://t.co/IrpfeZbbj3
103,@JoeBiden How bad will your dementia be in 2-4 years? Lol
104,@JoeBiden Any ideas who that should be?
105,@JoeBiden That s the advantage of our NHS. You don't have to worry what your health care insurance Co will pay up.
106,@JoeBiden It’s a good thing u can’t do it ☺️
107,@JoeBiden HUNTER BIDEN.. game over.
108,@JoeBiden @DrBiden @CNN @MSNBC @NBCNews @FoxNews @nytimes https://t.co/04qCE5p7ZG
109,@JoeBiden We are talking about 22 people from last year....
110,"@JoeBiden #For2020 JoeBiden President, Kamala Harris Vice   For the rest of the presidential election,  God wants t… https://t.co/ariNUhP9p0"
111,"@JoeBiden @JLo @AROD She's not wrong, but united we all stand against Trump and his corruption and bigotry.  Latino… https://t.co/amgVlz4HfJ"
112,"@JoeBiden That sure as hell is not you. You have ZERO for a plan. Just like the ACA, hot air."
113,"@JoeBiden Sleepy Joe, lucky you got that tweet in 3 minutes before your bed time"
114,@JoeBiden @KamalaHarris It was the governors like Cuomo who you Biden want to make AG put sick COVID patients into… https://t.co/RSDB1vPy41
115,"RT @The1OnlyRichie: @JoeBiden The LGBTQ community LOVES you, President Biden. ❤️🌈❤️🌈❤️🌈❤️ https://t.co/LXclHe7SAe"
116,"@JoeBiden @KamalaHarris When trump strikes down the ACA 10,s of millions of people will suffer and be forced to go… https://t.co/6yrr2O6twQ"
117,"@JoeBiden Now we have Hunters business partner turning over 26,000 emails from his laptop showing Hunters involveme… https://t.co/F9VNbxN9QW"
118,RT @RF69529999: @JoeBiden My advice.....wait for the truth that is now coming out. Joe wants you to vote today because he knows the truth t…
119,@JoeBiden @GameOverGreggy Wow
120,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX
121,@JoeBiden Wow. It’s hard to imagine how this could happen under any other administration.
122,"@JoeBiden I totally support you. You are a person with proven integrity, empathy, intelligence, knowledge and know… https://t.co/MXT92U9T7H"
123,@JoeBiden https://t.co/XzkfxpLTjW
124,"@JoeBiden Joe, this is one of the reasons that you are going to win."
125,"@JoeBiden @JoeBiden 4ever don't worry you will win the election. joe biden - &gt;&gt; future, equality, and above all peace🙌🏼🌈"
126,@JoeBiden Who do you recommend Joe? You've seen a few in your time as back seat driver.
127,@JoeBiden https://t.co/XzkfxpLTjW
128,@JoeBiden I believe u hired the cops that killed breyonna taylor and george floyd so protests and riots could happe… https://t.co/WZCyd7ftVh
129,@JoeBiden If you could finally admit that plans went up in price massively under ACA May we’d trust you. You should… https://t.co/NSeNIBKQUC
130,@JoeBiden https://t.co/XzkfxpLTjW
131,@JoeBiden PERIODT KING YOU TELL EM
132,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX
133,@JoeBiden Help the tutkish and siyriya kurds mr.biden
134,@JoeBiden @JLo @AROD AROD the cheater and JOE BIDEN the cheater- perfect match
135,@JoeBiden Sorry Joe but you can’t shut down reporters and not answer questions with “its a smear campaign”. That’s… https://t.co/dyw54AkTeJ
136,@JoeBiden Is that per individual or couple?
137,@JoeBiden @BarryAycock Lol joe joe joe
138,"@JoeBiden @JRothenbergTV Please comment #EndSARS and Retweet for our fallen heroes 🕯   In peace, may you leave this… https://t.co/81sb9iY0G6"
139,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
140,@JoeBiden you need to win the election the thought of boris doing brexit with trump makes me feel sick @KamalaHarris
141,"@JoeBiden Thank you for being an adult and showing maturity throughout this election. THAT, at the very least, is appreciated 🙏"
142,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
143,"@JoeBiden You absolutely must win the state of Florida to win your election, @JoeBiden"
144,"@JoeBiden @JoeBiden ‘ corruption is unheard of! Why China give you money but not me, not other ordinary Americans?… https://t.co/ocr6rXyIj0"
145,"@JoeBiden When will be the day that Joe Biden gives a spontaneous, genuine and legitimate speech that springs from… https://t.co/NQWu6dvItW"
146,@JoeBiden Help the kurds
147,@JoeBiden @JLo @AROD https://t.co/XzkfxpLTjW
148,@JoeBiden https://t.co/WUgcHs2inW
149,@JoeBiden @oldwac1 https://t.co/F7af5pZHme
150,@JoeBiden https://t.co/XzkfxpLTjW
151,@JoeBiden https://t.co/XzkfxpLTjW
152,@JoeBiden I STAND WITH JK ROWLING! If you dont biologically get a period you're not a woman. If you can biologicall… https://t.co/CnxgR6R2fR
153,@JoeBiden pig
154,@JoeBiden We’re with you Joe!!! You’re the exact right man for this job!
155,@JoeBiden This honestly gives me so much hope for the trans community. As a trans women I fear for my own life ever… https://t.co/1YkLcszUEr
156,@JoeBiden https://t.co/XzkfxpLTjW
157,@JoeBiden I honestly believe Biden is going to be one of the better Presidents the US has had four a very long time… https://t.co/rGBj5fomr1
158,@JoeBiden Help the kurds mr.biden
159,@JoeBiden These numbers don't lie Joe. 4 thousand to 2 thousand dislikes. Screw your fake polls and your voter supp… https://t.co/rTOcVnCZoy
160,@JoeBiden @dandrezner @JoeBiden @DrBiden we lost our home to the Glass Fire last month. The prospect of Federal sup… https://t.co/GE1cvKglNL
161,@JoeBiden https://t.co/4tCDnnVzRz
162,@JoeBiden President elect
163,@JoeBiden You wouldn’t know tough if it smacked you in the face and you couldn’t help improve the country if your l… https://t.co/l98zp6nQgp
164,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/jfNBHfwJ6z
165,"@JoeBiden Trump isn't fanning any flames, I can tell you who is.  Democrats @NYGovCuomo &amp; @BilldeBlasio arresting,… https://t.co/q8EkTgYsj4"
166,@JoeBiden PERIODT QUEEN YOU TELL EM
167,@JoeBiden https://t.co/XzkfxpLTjW
168,@JoeBiden https://t.co/XzkfxpLTjW
169,@JoeBiden And another one.. I stopped counting https://t.co/ILJ2RGByHa
170,@JoeBiden Help the kurts mr.biden
171,@JoeBiden Way to go Sir!!!
172,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…
173,@JoeBiden https://t.co/XzkfxpLTjW
174,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/9shsfc5yfB
175,@JoeBiden https://t.co/XzkfxpLTjW
176,"@JoeBiden Next time you are asked about court packing, tell them ""How dare you ask me that question when Mitch McCo… https://t.co/Rhta17WSFi"
177,"@JoeBiden Hi, Joe Message and I approve this Biden"
178,@JoeBiden Good plan
179,"@JoeBiden claimed another false fact today stating that 400,000 virus deaths would be more casualties than WWII but… https://t.co/z0SU2aaYlE"
180,@JoeBiden Pretty much every president has said the same words or something similar. I have saw yet to see it happen.
181,"@JoeBiden During a plan ""pandemic""  that was caused by your backers. No one is stupid Joe. And you constantly treat… https://t.co/XYmDnHxSAd"
182,@JoeBiden https://t.co/XzkfxpLTjW
183,RT @shossy2: @JoeBiden @KamalaHarris You would need hundreds of hours of video to go thru to clear up a small % of his lies. Over 20k now.…
184,@JoeBiden @KamalaHarris @JoeBiden the concern I have as one of your supporters (to an extent) is that you don't see… https://t.co/QQ7JU51fjP
185,@JoeBiden @KamalaHarris So your saying your son Hunter isn’t a crack head ??? And if your elected would you be inap… https://t.co/S3Ke30Itbw
186,@JoeBiden https://t.co/XzkfxpLTjW
187,"@JoeBiden Let’s be clear, you have no idea what you are for breakfast."
188,@JoeBiden https://t.co/AQcgy71Hbn
189,@JoeBiden https://t.co/zT7CY3ddXE
190,@JoeBiden Help the kurds mr.biden
191,"@JoeBiden I need a loan, can you lend me some China dollars, my ss doesn’t pay enough to live on."
192,@JoeBiden https://t.co/XzkfxpLTjW
193,"@JoeBiden Why just over that? Could you make the people living under your governence pay less money, no matter their income? Thank you."
194,@JoeBiden Soon-to-be President Biden please consider amending our healthcare to completely free healthcare like Can… https://t.co/xdOGXIbgqm
195,@JoeBiden  @KamalaHarris   #LiftTheTravelBan   IATA @IATA It's time for people &amp; countries to rebuild!  It's time t… https://t.co/ulPmbUCtYJ
196,@JoeBiden Joe Biden didn’t condemn the KKK today.   Joe Biden must be a racist
197,"@JoeBiden Copycat! That is who we already have, Trump. He wants to EXPAND options and lower premiums. Plagiarism again."
198,@JoeBiden https://t.co/ruPihsHmHX
199,"@JoeBiden @BaseballNerd07 PROPAGANDA BY THE BOTS.   FALSE REPORTS AS USUAL.  HOW ABOUT THAT 7 MILLION JOBS, AND MAN… https://t.co/Cl6KpdPKJp"
200,@JoeBiden I hope you have a magic wand. For me and tons of struggling Americans. 🆘🇺🇸
201,@JoeBiden Corrupted Biden
202,@JoeBiden #Trump2020
203,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
204,@JoeBiden the most assured way for me not to vote for you is for you to mention vaccines and mandates in the same s… https://t.co/e6WjP0IV2v
205,@JoeBiden @realDonaldTrump  @Jim_Jordan Stop Armenian terrorism ! https://t.co/0fVSSpAKj1
206,"@JoeBiden Didn't Joe Biden say ""if you don't vote for me you are not black"". Like did people just forget that. That… https://t.co/DB2mG0GlON"
207,@JoeBiden Joe Biden 🗣  The American people are smart 🇺🇸✅ They know they should only vote on November 3❗👍🏾 Because t… https://t.co/UBrFC9U8da
208,"@JoeBiden You can’t be that president,Never"
209,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/hl97PcBfEU
210,RT @Quiche4ever: @JoeBiden Same SEX/biSEXual attraction/relationships are DIFFERENT from a biological male body having access to biological…
211,@JoeBiden He need help joe https://t.co/2yBrSfffi3
212,@JoeBiden Why do you always have to bring color into it?  Enough!
213,@JoeBiden HE IS SATAN INCARNATE !!!
214,@JoeBiden You are #CorruptJoeBiden
215,@JoeBiden @KamalaHarris Your track record doesn't support this https://t.co/QyGQLlKwWO
216,@JoeBiden No thanks resident
217,@JoeBiden yeah
218,"@JoeBiden @AvysDorinda We need a President who has not spent 47 yrs thieving, lying, and letting his entire family… https://t.co/JHNRRQNa4F"
219,"@JoeBiden My granddaughter today.   Hey Allison, who’s the good guy? https://t.co/rvy5Ougxfg"
220,RT @chipfranklin: @JoeBiden Trump is the emergency.  Biden is the relief aid.  November 3rd the check arrives.
221,@JoeBiden @KamalaHarris do not let this happen https://t.co/UXw3CPFIXR
222,@JoeBiden Are you now against scientists that say there are only 2 genders?
223,"@JoeBiden Take a rest, Joe!"
224,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
225,RT @KlugeJosephB: @JoeBiden @PalmerReport @KamalaHarris You’re good people. Thank you both for stepping up to help us all rebuild from the…
226,@JoeBiden Haven’t hear Joe Biden call out China for the lethal attack on the USA and the world with the Virus. This… https://t.co/uzKtJJAJjz
227,@JoeBiden Loved watching this tonight with my 14 and 15 year old future voters!  Thank you @JoeBiden and… https://t.co/p2Ba1RMgC8
228,"@JoeBiden Black or White? Doesn't matter!  Joy your life, just wearing a mask.🥰 I would choose Mr. Biden. https://t.co/Il5BLRPOaZ"
229,RT @DBroncFanzz: @JoeBiden Go take a nappy joe #CorruptJoeBiden
230,@JoeBiden
231,@JoeBiden #CancelSleepyJoe #Campaign #JoeBidenNotMyPresident
232,"@JoeBiden ""If you dont for me your not black"""
233,@JoeBiden to ever be dumb enough  to ever suggest that an 8 year old boy could have his own thoughts about being tr… https://t.co/Ipe04lwfOb
234,@JoeBiden #BidenCrimeFamily https://t.co/yNQI0oSLHH
235,@JoeBiden https://t.co/IzNEoLnxQE
236,"@JoeBiden I'm so sorry, but you're just so smooth You're 47-year politician You don't have a track record to back up your campaign speeches"
237,RT @SmokeyLucaya: @JoeBiden @SenKamalaHarris @CaptMarkKelly @joangreeneaz @hiral4congress @delina4az @michael_muscato #Dems4AZ #AZ04 #AZ05…
238,"@JoeBiden Stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop................"
239,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
240,"@JoeBiden Promises promises, hey donnie need any help packing the bags? Word of advice, pack light."
241,"@JoeBiden Well done, keep the change. https://t.co/15wtcR1f6W"
242,@JoeBiden You are only out there to in rich you family
243,@JoeBiden @HillaryClinton #China
244,"@JoeBiden @LWR1977 Oh snap, Uncle Joe 😎🤣😊"
245,@JoeBiden and son.. &lt;&lt;-- Pedophilia? End your candidacy to spare America the embarrassment! America now knows why t… https://t.co/7UB4idBDtV
246,@JoeBiden how much money did you profit from your scheme with Hunter?
247,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…
248,"@JoeBiden I will have a deep sleep tonight, good luck Joe https://t.co/cLxXO5a2tx"
249,@JoeBiden https://t.co/3LPCBFCfGJ
250,"@JoeBiden More lies like, ""If you like your doctor you can keep your doctor."""
251,@JoeBiden https://t.co/2Gr48zwbVO
252,@JoeBiden This would be nice
253,"@JoeBiden What like passing a plan that was designed to fail in the dead of night with zero bipartisan support, like Your old boss."
254,@JoeBiden @KamalaHarris Love it
255,@JoeBiden And isn't a dictator wannabe who owes 419.4m to  @KremlinRussia_E
256,@JoeBiden @HillaryClinton https://t.co/pdHqgZ5ymX
257,RT @LTsideVsDKside: @JoeBiden uh oh.   https://t.co/njCN4Ms9Uu
258,@JoeBiden https://t.co/a1guOdY3cE
259,@JoeBiden @funkygy123 I had never voted in a US election until this year...I turned 18 in early 2012. I believed US… https://t.co/U6IWyBXmzF
260,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX
261,@JoeBiden 🤣😂🤣😂
262,@JoeBiden can I have Hunter's salary?
263,@JoeBiden What did joe sell to make hunter super rich?
264,@JoeBiden https://t.co/AQcgy71Hbn
265,@JoeBiden A person should have the freedom not to get health insurance if they don't want it. Obamacare take that a… https://t.co/9wYaVib2rJ
266,"@JoeBiden BahahahHaaaaaa. Another Biden lie! You lie so much you believe yourself..... How about this one...No, you… https://t.co/irvk2cgigf"
267,RT @TheresaMechele: @JoeBiden #BidenCrimeFamily Hunter Biden DEADBEAT DAD DENIED PATERNITY REFUSES TO PRODUCE TAX RETURNS blows off court h…
268,"@JoeBiden Guess you won’t remember you said this few minutes later. You are a fraud, you know you are not sound cog… https://t.co/QIi8QC5Ugz"
269,@JoeBiden ads say he fixed the economy in 2008..I thought @BarackObama said he did..so Obama was a tool under Biden… https://t.co/N1YnHpDsH0
270,@JoeBiden https://t.co/PhWa4SczNt https://t.co/DFfn7krPSo
271,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…
272,@JoeBiden https://t.co/PhWa4SczNt https://t.co/DFfn7krPSo
273,RT @ShironRedshift: @JoeBiden $300M in YOUR tax dollars was reallocated to Trump's reelection. That's 300 MILLION dollars that Trump is tak…
274,@JoeBiden Please tell about the sunset clause for middle class earners in the trump tax cuts.
275,@JoeBiden Trump does everything he can to destroy anything he can that stops him from putting money in his own pock… https://t.co/iIbQSxb80d
276,"@JoeBiden I can't thank you enough for this statement Joe.  Being the mother of a transgender son, I worry for his… https://t.co/kwtOptba4Z"
277,@JoeBiden https://t.co/lUxTkyazbi
278,@JoeBiden These people are not on the Plane 24 seven they do have to go home!
279,@JoeBiden What specifically will you do Joe? And why didnt you do it on 47 yrs
280,RT @IntelCube: @JoeBiden Former White House chief of staff tells friends: The depths of his [Trump] dishonesty is just astounding to me. Th…
281,@JoeBiden  @KamalaHarris you want the American people to vote you into office yet you don't care that we are suffer… https://t.co/ADCPVp4Y12
282,"@JoeBiden Americans lives are a game to them. They're not patriotic, they don't look out for their fellow man."
283,@JoeBiden ALREADY  IS! THANK YOU TRUMP!!!!
284,@JoeBiden #M4A or #STFU
285,@JoeBiden Well said Joe - I agree that Health Care is concern #1. That’s why this week’s Senate Judiciary Committee… https://t.co/QVcMBArVb0
286,@JoeBiden Total crap. You made money out of corrupt deals with Ukraine!!!
287,@JoeBiden Donald trump along with MITCH McConnell and the Republican GOP...will continue to hurt the American peopl… https://t.co/nExJY8zDKc
288,@JoeBiden https://t.co/GgcwwZ8Asu
289,@JoeBiden Dont fine me for not having it your way &amp; we're good
290,@JoeBiden He’s jerking Cali around.  Heartless.
291,@JoeBiden Where is Hunter???
292,RT @PhilippusArabus: @JoeBiden We need a president who doesn't sell favors to foreign oligarchs.
293,RT @bryant865: @JoeBiden obamacare tore it away from many middle class citizens in order to give it to others ... history does not consider…
294,@JoeBiden voters look like taking keeping them safe seriously https://t.co/Kndtogh0p7
295,@JoeBiden 👍
296,@JoeBiden You got that right. That’s why I will be voting against you.
297,@JoeBiden Trump's America.  Imagine to be send away at a hospital! Or several! Where do you even go!?… https://t.co/avUSVaQwJ8
298,"RT @TimRunsHisMouth: @JoeBiden Speaking of ""access"" ...Obamacare made it so not only did people lose the doctors they liked, but they could…"
299,@JoeBiden Like Hunter Biden??? Lol
300,"@JoeBiden #For2020 JoeBiden President, Kamala Harris Vice   Isaiah 41:11   “All who rage against you will surely be… https://t.co/BarBS4Glot"
301,@JoeBiden https://t.co/dFt8Uc0heK
302,RT @peekabooveach: @JoeBiden I make under $100K and I am fucking begging you to tax me more and use it toward Medicare for All and a future…
303,@JoeBiden No. More. Immigration.    Look at the horrendous mess it has caused.
304,RT @SmokeyLucaya: @JoeBiden @SenKamalaHarris @CaptMarkKelly @joangreeneaz @hiral4congress @delina4az @michael_muscato #Dems4AZ #AZ04 #AZ05…
305,"@JoeBiden I didn’t get to keep my doctor, my health insurance premium and deductible skyrocketed and I was forced i… https://t.co/oL7C99c9w7"
306,"@JoeBiden Then offer something.... anything! I'm not Trump is a low bar, and I'm glad you cleared it, but if you th… https://t.co/9tiaPfGvIX"
307,@JoeBiden What about Hunters Email? You're a corrupt politician Joe and your family is full of criminals.  Doesn't… https://t.co/RodEb4RaLZ
308,"@JoeBiden You may not raise income tax, but there are dozens of ways you will tax the rest of us. Anyone who doesn'… https://t.co/f1BAiWRYza"
309,@JoeBiden https://t.co/AnCL8MGvMD
310,@JoeBiden If you typed this I’ll suck my own dick. #LetsLink
311,"@JoeBiden Please make sure to tell the people they have only two choses, a President who lies all the time or a Pre… https://t.co/hLCiXLgso0"
312,@JoeBiden Corrupt...  How much money did you get from China &amp; Russia?  Selling USA!
313,@JoeBiden Where’s Hunter #WheresHunter https://t.co/ybL0yRBUrw
314,@JoeBiden @KamalaHarris Put a stop to the insurance company take money out of the hands of the insurance company fa… https://t.co/IRgopUZOJL
315,@JoeBiden Joe if you want my vote your going to have to work for it.
316,@JoeBiden Which laws will you change? And how will you change them to honestly benefit us?
317,@JoeBiden https://t.co/66kMdMDjME
